"date","hour","soil1_moss","soil1_5cm","soil1_10cm","soil1_20cm","soil1_50cm","soil1_100cm","soil1_150cm"
2015-05-03,2400,-1.347,-0.961,-1.31,-1.404,-1.658,-1.612,-1.399
2015-05-04,300,-1.44,-0.993,-1.312,-1.423,-1.688,-1.659,-1.469
2015-05-04,600,-1.418,-0.969,-1.271,-1.394,-1.66,-1.65,-1.47
2015-05-04,900,-1.402,-0.918,-1.243,-1.375,-1.621,-1.626,-1.466
2015-05-04,1200,-1.345,-0.792,-1.162,-1.328,-1.552,-1.564,-1.429
2015-05-04,1500,-1.1,-0.65,-1.052,-1.187,-1.457,-1.489,-1.315
2015-05-04,1800,-1.085,-0.549,-1.049,-1.186,-1.464,-1.509,-1.33
2015-05-04,2100,-1.141,-0.37,-1.006,-1.189,-1.514,-1.572,-1.39
2015-05-04,2400,-1.22,-0.481,-1.036,-1.209,-1.536,-1.601,-1.444
2015-05-05,300,-1.225,-0.603,-1.064,-1.198,-1.527,-1.604,-1.457
2015-05-05,600,-1.233,-0.69,-1.091,-1.2,-1.523,-1.608,-1.47
2015-05-05,900,-1.212,-0.718,-1.091,-1.18,-1.498,-1.595,-1.456
2015-05-05,1200,-1.149,-0.67,-1.047,-1.129,-1.453,-1.554,-1.41
2015-05-05,1500,-1.066,-0.619,-1.014,-1.082,-1.418,-1.527,-1.369
2015-05-05,1800,-1.047,-0.605,-1.013,-1.073,-1.406,-1.524,-1.361
2015-05-05,2100,-1.082,-0.671,-1.046,-1.107,-1.4,-1.522,-1.389
2015-05-05,2400,-1.182,-0.842,-1.143,-1.179,-1.44,-1.558,-1.451
2015-05-06,300,-1.27,-0.926,-1.184,-1.22,-1.454,-1.568,-1.482
2015-05-06,600,-1.277,-0.954,-1.183,-1.211,-1.433,-1.548,-1.468
2015-05-06,900,-1.366,-0.964,-1.177,-1.228,-1.418,-1.526,-1.476
2015-05-06,1200,-1.331,-0.864,-1.082,-1.169,-1.336,-1.437,-1.41
2015-05-06,1500,-1.25,-0.772,-1.014,-1.097,-1.284,-1.389,-1.344
2015-05-06,1800,-1.051,-0.66,-0.946,-0.989,-1.229,-1.348,-1.248
2015-05-06,2100,-0.989,-0.404,-0.914,-1.026,-1.251,-1.369,-1.284
2015-05-06,2400,-1.087,-0.449,-0.952,-1.101,-1.316,-1.424,-1.37
2015-05-07,300,-1.122,-0.594,-0.994,-1.116,-1.329,-1.435,-1.398
2015-05-07,600,-1.133,-0.656,-1,-1.108,-1.32,-1.426,-1.397
2015-05-07,900,-1.105,-0.641,-0.958,-1.072,-1.274,-1.383,-1.369
2015-05-07,1200,-1.03,-0.464,-0.89,-1.03,-1.232,-1.344,-1.337
2015-05-07,1500,-0.703,-0.038,-0.418,-0.907,-1.218,-1.337,-1.321
2015-05-07,1800,-0.057,0.069,0.047,-0.087,-0.839,-1.323,-1.272
2015-05-07,2100,0.136,0.091,0.072,0.096,-0.276,-1.309,-1.269
2015-05-07,2400,0.06,0.045,0.028,0.039,-0.305,-1.305,-1.312
2015-05-08,300,-0.017,0.019,0.006,0.004,-0.353,-1.297,-1.343
2015-05-08,600,-0.011,0.013,0.012,0.015,-0.374,-1.266,-1.333
2015-05-08,900,-0.039,0.002,0,0.003,-0.409,-1.239,-1.337
2015-05-08,1200,-0.029,0.036,0.018,0.016,-0.444,-1.208,-1.324
2015-05-08,1500,0.032,0.077,0.056,0.052,-0.461,-1.177,-1.287
2015-05-08,1800,0.077,0.105,0.092,0.08,-0.477,-1.154,-1.257
2015-05-08,2100,0.071,0.099,0.088,0.071,-0.5,-1.143,-1.264
2015-05-08,2400,0.025,0.072,0.061,0.042,-0.538,-1.151,-1.285
2015-05-09,300,0.009,0.063,0.052,0.033,-0.56,-1.148,-1.289
2015-05-09,600,0.002,0.048,0.048,0.029,-0.574,-1.14,-1.288
2015-05-09,900,-0.03,0.055,0.04,0.013,-0.592,-1.137,-1.297
2015-05-09,1200,-0.05,0.131,0.075,0.016,-0.573,-1.091,-1.284
2015-05-09,1500,0.08,0.151,0.11,0.091,-0.554,-1.068,-1.216
2015-05-09,1800,0.16,0.176,0.146,0.142,-0.54,-1.051,-1.166
2015-05-09,2100,0.125,0.136,0.108,0.101,-0.569,-1.07,-1.194
2015-05-09,2400,0.047,0.052,0.048,0.022,-0.61,-1.094,-1.247
2015-05-10,300,-0.055,-0.026,-0.013,-0.065,-0.665,-1.137,-1.306
2015-05-10,600,-0.069,-0.021,-0.013,-0.089,-0.663,-1.124,-1.297
2015-05-10,900,-0.067,0.039,0.016,-0.096,-0.633,-1.086,-1.275
2015-05-10,1200,0.03,0.138,0.067,-0.06,-0.589,-1.04,-1.221
2015-05-10,1500,-0.012,0.215,0.059,-0.096,-0.596,-1.035,-1.227
2015-05-10,1800,0.095,0.184,0.106,-0.043,-0.569,-1.013,-1.163
2015-05-10,2100,0.067,0.113,0.095,-0.089,-0.577,-1.015,-1.189
2015-05-10,2400,0.074,0.075,0.079,-0.106,-0.577,-1.009,-1.192
2015-05-11,300,-0.019,0.003,0.016,-0.173,-0.617,-1.036,-1.235
2015-05-11,600,-0.08,-0.015,-0.009,-0.215,-0.64,-1.052,-1.262
2015-05-11,900,-0.091,0.082,0.025,-0.21,-0.612,-1.021,-1.251
2015-05-11,1200,0.033,0.183,0.082,-0.14,-0.558,-0.97,-1.18
2015-05-11,1500,0.042,0.207,0.071,-0.142,-0.559,-0.97,-1.176
2015-05-11,1800,0.049,0.158,0.061,-0.144,-0.562,-0.97,-1.172
2015-05-11,2100,0.013,0.082,0.026,-0.172,-0.582,-0.985,-1.192
2015-05-11,2400,-0.001,0.037,0.011,-0.18,-0.586,-0.987,-1.195
2015-05-12,300,0,0.028,0.004,-0.182,-0.584,-0.984,-1.191
2015-05-12,600,-0.017,0.042,-0.006,-0.191,-0.586,-0.983,-1.194
2015-05-12,900,-0.059,0.163,-0.011,-0.211,-0.586,-0.98,-1.207
2015-05-12,1200,-0.058,0.469,0.02,-0.207,-0.563,-0.952,-1.197
2015-05-12,1500,0.042,0.763,0.068,-0.145,-0.531,-0.919,-1.138
2015-05-12,1800,0.101,0.856,0.076,-0.12,-0.515,-0.907,-1.111
2015-05-12,2100,0.095,0.345,0.055,-0.129,-0.524,-0.916,-1.116
2015-05-12,2400,0.027,-0.077,-0.02,-0.183,-0.566,-0.952,-1.16
2015-05-13,300,-0.066,-0.327,-0.079,-0.242,-0.61,-0.992,-1.212
